model,group,dimensions,parameters,num_objects,num_posterior_samples,num_regions,score,ideal_score,delta_from_ideal,theoretical_variance,theoretical_sigma,mira_std,region_mc_std,bootstrap_mean,bootstrap_std,bootstrap_q025,bootstrap_q16,bootstrap_q84,bootstrap_q975,group_seed,bootstrap_seed
raw_q,marginal_dust_delta,1,dust_delta,512,128,100,0.6724836756009,0.6666666666666666,0.005817008934233425,0.00010850694444444444,0.010416666666666666,0.010828057038578696,0.010828057038578696,0.6721454645400697,0.010326508150770256,0.6534976983573202,0.6619757104738642,0.6819659449233336,0.6932998683053995,3072766633,1070225238
raw_iw,marginal_dust_delta,1,dust_delta,512,128,100,0.6251147484224839,0.6666666666666666,-0.041551918244182695,0.00010850694444444444,0.010416666666666666,0.011023871854196883,0.011023871854196883,0.6250672630707444,0.012207210836337625,0.6017303489213077,0.6126684593136179,0.6369653344041307,0.6486129784904904,3072766633,1070225238
ema_q,marginal_dust_delta,1,dust_delta,512,128,100,0.6729644800460506,0.6666666666666666,0.006297813379383954,0.00010850694444444444,0.010416666666666666,0.010189136737391436,0.010189136737391436,0.6729089685712344,0.010202616439812115,0.6529022241119378,0.6627001977812506,0.6834002711005519,0.6926120783858452,3072766633,1070225238
ema_iw,marginal_dust_delta,1,dust_delta,512,128,100,0.6302928185101331,0.6666666666666666,-0.03637384815653355,0.00010850694444444444,0.010416666666666666,0.01231199621610261,0.01231199621610261,0.6303498100874938,0.012600489878788297,0.6065635703748598,0.6167553733913428,0.6429467797389133,0.6545024896208289,3072766633,1070225238
raw_q,marginal_sfh_dlog_sfr_01,1,sfh_dlog_sfr_01,512,128,100,0.6944049098134224,0.6666666666666666,0.02773824314675577,0.00010850694444444444,0.010416666666666666,0.01065579588437067,0.01065579588437067,0.6945045649651609,0.009772487748407187,0.6751972223639384,0.6851684595837014,0.7043353297722911,0.713994601048509,1561448012,1674554120
raw_iw,marginal_sfh_dlog_sfr_01,1,sfh_dlog_sfr_01,512,128,100,0.6498191857703745,0.6666666666666666,-0.016847480896292177,0.00010850694444444444,0.010416666666666666,0.010344529972095081,0.010344529972095081,0.6499349542034228,0.01170156597905339,0.6281734489954018,0.6383361840186126,0.6613684106669143,0.6733558679869617,1561448012,1674554120
ema_q,marginal_sfh_dlog_sfr_01,1,sfh_dlog_sfr_01,512,128,100,0.6930148341246501,0.6666666666666666,0.026348167457983518,0.00010850694444444444,0.010416666666666666,0.01025368017911175,0.01025368017911175,0.6923749415441414,0.009956481740933417,0.6721275354628545,0.6826989771526268,0.7024218776167254,0.7123115566086454,1561448012,1674554120
ema_iw,marginal_sfh_dlog_sfr_01,1,sfh_dlog_sfr_01,512,128,100,0.6516410851912241,0.6666666666666666,-0.015025581475442529,0.00010850694444444444,0.010416666666666666,0.010602308429945653,0.010602308429945653,0.6516751885849058,0.012104181459463542,0.6288414024891011,0.6399029564853868,0.6632611108692776,0.6763015772264509,1561448012,1674554120
raw_q,marginal_sfh_dlog_sfr_02,1,sfh_dlog_sfr_02,512,128,100,0.6079025291200821,0.6666666666666666,-0.058764137546584494,0.00010850694444444444,0.010416666666666666,0.012694677026383943,0.012694677026383943,0.6084263175741819,0.01215843514781211,0.5848815939757287,0.5960009787827767,0.6202874778966884,0.6311977409988557,1020577339,192613834
raw_iw,marginal_sfh_dlog_sfr_02,1,sfh_dlog_sfr_02,512,128,100,0.5502284261220263,0.6666666666666666,-0.11643824054464036,0.00010850694444444444,0.010416666666666666,0.01193208234239595,0.01193208234239595,0.549972810886699,0.013083788989140784,0.5231472034869611,0.537183229540226,0.563038942527171,0.5761886618144387,1020577339,192613834
ema_q,marginal_sfh_dlog_sfr_02,1,sfh_dlog_sfr_02,512,128,100,0.6140422080980323,0.6666666666666666,-0.05262445856863429,0.00010850694444444444,0.010416666666666666,0.01350770348668386,0.01350770348668386,0.6140041374191797,0.011968007714784831,0.5906185172148739,0.6020202659145752,0.6251855492039976,0.6375736260323734,1020577339,192613834
