case,start,loss_before,loss_after,ad,fd_small,rms_zero,rms_p01,rms_p10,rms_full,ess_zero,ess_p01,ess_p10,ess_full
observed_000,0,22.12663232025453,30.32862404747104,-5.815573,-5.815821,1.294969,1.284986,1.223795,2.250816,.000423,.000432,.000828,.000973
observed_000,1,24.145827028260157,30.788406188578676,-6.522693,-6.522919,1.324264,1.315306,1.263676,2.263542,.006605,.006703,.008811,.000376
observed_001,1,19.371743854783624,39.31424684420982,-9.986645,-9.986958,1.204318,1.179551,1.014590,2.986877,.002876,.003098,.005415,.000251
observed_004,0,25.61723148548176,33.56575004097285,-7.177467,-7.178054,1.262751,1.264080,1.295532,2.234451,.005271,.004712,.003523,.001204
observed_004,1,25.28593173660437,32.13913534626518,-9.933091,-9.933573,1.271468,1.268104,1.263003,2.173491,.004534,.003896,.003210,.000376
observed_006,0,16.56984911694041,46.03608613956513,-3.155938,-3.155826,1.058099,1.066657,1.237376,6.195245,.003639,.003707,.014624,.000244
simulated_003,0,40.11797188796494,33.49042727442456,-14.760727,-14.760660,.877453,.873806,.848622,1.579290,.001746,.001665,.001231,.000873
simulated_003,1,28.725670356804454,27.647473364450633,-8.879213,-8.879169,.858260,.855296,.837208,1.645985,.006983,.006510,.003278,.001366
simulated_005,0,27.852430164332688,28.903874960375184,-6.021249,-6.021431,1.025948,1.025695,1.031034,1.483545,.002383,.002404,.002994,.001775
